Names,scan1-1.png,scan1-2.png,scan1-3.png,scan1-4.png,scan1-5.png,scan1-6.png,scan1-7.png,scan1-8.png,scan1-9.png,scan1-10.png,scan1-11.png,scan1-12.png,scan1-13.png,scan1-14.png,scan1-15.png,scan1-16.png,scan1-17.png,scan1-18.png,scan1-19.png,scan1-20.png,scan1-21.png,scan1-22.png,scan1-23.png,scan1-24.png,scan1-25.png,scan1-26.png,scan1-27.png,scan1-28.png,scan1-29.png,scan1-30.png,scan1-31.png,scan1-32.png,scan1-33.png,scan1-34.png,scan1-35.png,scan1-36.png,scan1-37.png,scan1-38.png,scan1-39.png,scan1-40.png,scan1-41.png,scan1-42.png,scan1-43.png,scan1-44.png,scan1-45.png,scan1-46.png,scan1-47.png,scan1-48.png,scan1-49.png,scan1-50.png,scan1-51.png,scan1-52.png
scan1-1.png,0.0,0.733938,10.7535,0.772711,3.8474,2.85865,3.47973,2.40075,7.20061,9.84433,2.01557,7.99351,2.4038,1.84629,0.628893,0.481279,0.93464,0.51607,3.92647,5.90513,3.5721,2.75387,1.88522,1.92556,2.69126,5.65317,0.442787,0.563225,4.17382,0.572224,0.376604,4.06234,0.558915,2.08935,4.49673,19.764,1.58888,8.95235,3.43117,2.48386,0.653062,0.594302,0.585898,2.68581,1.93469,4.16568,2.47859,1.3995,1.64977,1.28066,3.71581,2.65465
scan1-2.png,0.733938,0.0,10.1789,0.314811,3.62243,3.28804,3.48199,2.59424,7.43754,9.61545,1.81744,8.0923,2.15967,1.7789,0.391957,0.268481,0.32773,0.28242,3.89894,5.81825,4.12866,3.06347,1.82298,1.97197,3.11497,5.62209,0.319577,0.213984,3.85056,0.198447,0.383492,4.32106,0.191825,2.5821,4.49673,19.7328,1.96743,9.18929,3.14336,2.40107,0.416126,0.211161,0.227967,3.05281,1.89743,4.32864,2.41201,1.9701,1.51506,1.22469,4.09815,2.6281
scan1-3.png,10.7535,10.1789,0.0,10.4218,7.20199,8.49599,7.36704,7.25927,5.46584,5.29143,9.02526,5.70469,8.70527,8.8558,9.69912,11.0962,10.9292,11.0662,7.45588,7.17656,7.48345,8.80093,8.98141,8.20697,8.23121,5.38016,11.1324,11.2642,6.72225,11.2448,11.1017,9.20456,11.1584,8.73834,16.3783,20.701,9.42047,4.80111,7.54269,8.91125,9.72329,11.2834,11.2924,9.39028,9.44975,9.09237,8.89345,9.5778,9.31517,9.01634,7.25844,8.00711
scan1-4.png,0.772711,0.314811,10.4218,0.0,3.8653,3.5309,3.72485,2.79436,7.71638,9.85832,2.0603,8.33517,2.40253,2.02069,0.11312,0.438752,0.0441301,0.492596,4.14181,6.06111,4.09374,3.30633,2.06584,2.21483,3.35783,5.86495,0.397468,0.27549,4.09342,0.298916,0.410297,4.56392,0.384596,2.82497,4.49673,19.8523,2.2103,9.46813,3.38622,2.33307,0.137289,0.26095,0.249597,3.29567,2.1403,4.57151,2.34401,2.06433,1.75793,1.5395,4.34102,2.87096
scan1-5.png,3.8474,3.62243,7.20199,3.8653,0.0,1.19299,1.14694,1.05857,4.0554,6.13781,1.84814,5.90177,1.69391,2.02361,3.7741,4.0848,4.09701,4.05489,1.41156,3.90573,2.56672,2.25507,1.97606,1.65046,2.38703,2.52512,4.121,4.25289,1.13232,4.23345,4.09037,1.93227,4.14706,2.01054,4.50338,20.013,2.3746,5.80715,0.531334,1.79536,3.79827,4.27207,4.28099,2.24111,2.4384,2.05292,1.78324,2.99068,2.30382,2.45983,1.29593,1.17492
scan1-6.png,2.85865,3.28804,8.49599,3.5309,1.19299,0.0,2.36194,1.12876,4.49984,7.11266,2.06744,5.6961,1.74199,1.6752,3.32966,3.17678,3.7486,3.11404,1.43475,3.04649,2.31094,1.11871,2.05836,1.31607,1.32674,3.0656,3.26232,3.39306,2.43007,3.36917,3.22145,1.22237,3.25199,0.871273,4.49673,19.0184,1.75817,6.25159,1.4194,1.85529,3.35383,3.41841,3.4316,0.755106,1.62367,1.37707,1.83164,1.81974,2.37814,2.12544,1.41905,0.826514
scan1-7.png,3.47973,3.48199,7.36704,3.72485,1.14694,2.36194,0.0,0.85596,4.24649,6.82859,1.85465,5.58727,1.42838,1.87165,3.58301,3.81844,3.94505,3.78852,1.42894,3.36009,1.41127,2.2786,1.74475,1.67095,2.34063,2.75535,3.85463,3.98652,0.988516,3.96708,3.824,2.66165,3.88069,1.75885,5.28265,20.4945,2.53799,5.99824,0.913569,1.54918,3.60718,4.0057,4.01463,3.10661,2.58463,2.52316,1.5355,2.6272,2.06454,2.31939,1.72254,1.70094
scan1-8.png,2.40075,2.59424,7.25927,2.79436,1.05857,1.12876,0.85596,0.0,4.92202,6.80654,1.48458,5.03961,0.845239,0.876647,2.90748,2.62682,2.82725,2.48592,1.31908,2.68483,1.4861,0.552119,1.1979,1.01451,0.842204,3.04937,2.57202,2.703,1.14582,2.68012,2.5345,1.68176,2.59128,0.793194,4.49673,19.4196,1.73251,6.67377,0.616846,0.919769,2.93165,2.70114,2.71552,1.70258,1.38912,1.78495,0.907357,1.40261,1.53826,1.53041,1.10372,0.905699
scan1-9.png,7.20061,7.43754,5.46584,7.71638,4.0554,4.49984,4.24649,4.92202,0.0,1.63412,5.85298,1.51132,5.44038,5.70808,7.8295,7.41699,7.7449,7.2437,3.62109,2.67773,3.88746,5.06909,5.85785,5.51676,5.14645,1.88354,7.38789,7.52822,4.10507,7.5071,7.32746,3.49051,7.37353,5.23751,11.1366,16.5891,5.74059,1.75175,4.47692,5.62207,7.85367,7.53408,7.54816,4.87536,5.61578,3.43287,5.60838,6.13286,6.13547,6.2439,4.00948,4.87956
scan1-10.png,9.84433,9.61545,5.29143,9.85832,6.13781,7.11266,6.82859,6.80654,1.63412,0.0,7.98595,4.37077,7.7961,8.07508,9.46362,10.187,10.1485,10.1571,6.5467,6.5643,6.44829,7.6332,8.07224,7.64348,7.88222,4.23287,10.2232,10.3551,6.3962,10.3356,10.1926,6.57514,10.2492,7.82917,14.4049,17.952,8.87083,0.862836,6.63352,7.87193,9.48779,10.3743,10.3832,7.69083,8.54058,6.6817,7.85414,8.53849,8.406,8.45285,7.02366,7.2264
scan1-11.png,2.01557,1.81744,9.02526,2.0603,1.84814,2.06744,1.85465,1.48458,5.85298,7.98595,0.0,7.66957,0.785018,0.817226,1.97652,2.23815,2.28904,2.20824,3.06164,5.67354,3.28186,2.21145,0.352291,0.517894,1.96827,4.31231,2.27434,2.40624,2.36121,2.38679,2.24372,3.70007,2.30041,1.40967,4.49673,20.5111,0.921507,7.60473,1.45005,1.1266,2.00069,2.42542,2.43434,2.28306,1.06615,3.82072,1.13286,1.16595,0.457166,0.654834,2.90251,1.31379
scan1-12.png,7.99351,8.0923,5.70469,8.33517,5.90177,5.6961,5.58727,5.03961,1.51132,4.37077,7.66957,0.0,6.87686,6.70266,7.54598,8.31165,8.77605,8.24891,4.76096,2.79237,5.01751,6.35024,7.19323,6.12034,5.51453,2.86045,8.39718,8.52793,5.79242,8.50404,8.35632,4.54942,8.38686,5.94269,10.5696,18.6305,6.59389,2.03527,5.87814,7.40027,7.57015,8.55328,8.56646,5.98604,6.75854,4.50966,7.37561,7.10337,7.51301,6.9297,4.39098,5.85397
scan1-13.png,2.4038,2.15967,8.70527,2.40253,1.69391,1.74199,1.42838,0.845239,5.44038,7.7961,0.785018,6.87686,0.0,0.44369,2.38912,2.51842,2.51708,2.52748,2.38918,4.78848,2.83291,1.73766,0.558809,0.355366,1.43653,3.71516,2.48981,2.60301,2.12559,2.58005,2.50501,2.94569,2.52587,0.934166,4.49673,20.2188,1.51907,7.19213,1.16258,0.566372,2.41329,2.60674,2.61627,1.69323,1.16382,3.04902,0.583585,1.6678,0.780275,0.997069,2.59915,0.716636
scan1-14.png,1.84629,1.7789,8.8558,2.02069,2.02361,1.6752,1.87165,0.876647,5.70808,8.07508,0.817226,6.70266,0.44369,0.0,2.12141,1.94865,2.07339,1.66345,2.16547,4.46801,2.56451,1.5261,0.540961,0.218929,1.36198,3.89589,1.8296,1.97894,2.38867,1.95836,1.74449,2.78055,1.793,0.894237,4.49673,20.0191,1.10276,7.45983,1.52434,0.804155,2.14558,1.96839,1.9855,1.50507,0.592144,2.83369,0.816381,1.07203,0.851018,0.746113,2.49857,0.901438
scan1-15.png,0.628893,0.391957,9.69912,0.11312,3.7741,3.32966,3.58301,2.90748,7.8295,9.46362,1.97652,7.54598,2.38912,2.12141,0.0,0.412513,0.0845953,0.585801,4.20841,5.15177,3.94204,2.76041,1.97165,2.31273,2.68305,5.94596,0.44161,0.301278,3.72443,0.322399,0.502038,4.33899,0.45597,2.59199,4.52237,19.2852,2.08891,9.58125,3.35258,2.20743,0.0241693,0.29542,0.28134,2.95414,2.21372,4.39663,2.22112,1.69664,1.69403,1.5856,3.82002,2.94994
scan1-16.png,0.481279,0.268481,11.0962,0.438752,4.0848,3.17678,3.81844,2.62682,7.41699,10.187,2.23815,8.31165,2.51842,1.94865,0.412513,0.0,0.604242,0.381292,4.0411,6.22327,4.02174,3.07201,2.13575,2.02436,3.04104,5.75554,0.236106,0.216281,4.51648,0.192391,0.373862,4.38048,0.162123,2.41461,4.49673,19.8055,1.86215,9.16874,3.55347,2.72286,0.436682,0.241629,0.254814,3.00394,2.04931,4.48381,2.71759,1.79367,1.83971,1.37947,4.03394,2.75701
scan1-17.png,0.93464,0.32773,10.9292,0.0441301,4.09701,3.7486,3.94505,2.82725,7.7449,10.1485,2.28904,8.77605,2.51708,2.07339,0.0845953,0.604242,0.0,0.659188,4.19973,6.54141,4.38598,3.59949,2.22083,2.25896,3.43528,5.9156,0.54338,0.412058,4.46206,0.433726,0.579125,4.85394,0.535509,2.96763,4.49673,20.2246,2.42062,9.49665,3.59773,2.53972,0.108765,0.389796,0.37874,3.57847,2.204,4.90708,2.55195,2.29587,1.89406,1.55242,4.57197,2.92208
scan1-18.png,0.51607,0.28242,11.0662,0.492596,4.05489,3.11404,3.78852,2.48592,7.2437,10.1571,2.20824,8.24891,2.52748,1.66345,0.585801,0.381292,0.659188,0.0,3.89013,6.16053,3.95907,3.00927,2.17047,1.76206,3.07576,5.55933,0.326062,0.493518,4.48656,0.474238,0.19,4.31774,0.283701,2.43818,4.49673,19.9489,1.79941,8.99545,3.52356,2.66812,0.609971,0.501503,0.520141,2.9412,1.8847,4.42107,2.67536,1.731,1.87443,1.0469,3.9712,2.56488
scan1-19.png,3.92647,3.89894,7.45588,4.14181,1.41156,1.43475,1.42894,1.31908,3.62109,6.5467,3.06164,4.76096,2.38918,2.16547,4.20841,4.0411,4.19973,3.89013,0.0,2.67258,1.78678,2.41732,2.94798,1.92698,2.29714,1.75924,3.89737,4.04729,1.84415,4.02893,3.86766,1.72079,3.88852,2.0511,5.47041,19.3873,2.55046,5.37284,1.62484,2.70951,4.23258,4.03366,4.04863,2.14615,2.00914,1.58367,2.69837,3.19048,3.16945,2.73634,1.26003,1.27765
scan1-20.png,5.90513,5.81825,7.17656,6.06111,3.90573,3.04649,3.36009,2.68483,2.67773,6.5643,5.67354,2.79237,4.78848,4.46801,5.15177,6.22327,6.54141,6.16053,2.67258,0.0,3.02147,3.79084,5.10485,3.84628,3.42615,2.45681,6.3088,6.43955,3.68869,6.41566,6.26794,2.44288,6.29848,3.85431,6.6744,18.9724,4.36112,4.42947,3.78976,5.40424,5.17594,6.4649,6.47809,3.39048,4.67016,2.19705,5.37957,5.10733,5.42463,4.65564,2.18933,3.61933
scan1-21.png,3.5721,4.12866,7.48345,4.09374,2.56672,2.31094,1.41127,1.4861,3.88746,6.44829,3.28186,5.01751,2.83291,2.56451,3.94204,4.02174,4.38598,3.95907,1.78678,3.02147,0.0,1.9943,3.04403,2.49774,2.84476,2.47821,4.01489,4.13533,2.25473,4.14432,3.92294,2.93164,4.11945,2.18401,6.45861,20.1815,2.91879,5.63921,2.32484,2.44017,3.96621,4.1664,4.158,3.34115,3.13393,2.8074,2.4124,2.67311,3.44542,3.09587,2.04219,2.59977
scan1-22.png,2.75387,3.06347,8.80093,3.30633,2.25507,1.11871,2.2786,0.552119,5.06909,7.6332,2.21145,6.35024,1.73766,1.5261,2.76041,3.07201,3.59949,3.00927,2.41732,3.79084,1.9943,0.0,1.95359,1.3596,0.961056,4.05499,3.15754,3.28829,2.43253,3.2644,3.11668,2.48219,3.14722,0.926203,4.49673,19.7824,2.22056,6.82084,1.82285,1.72048,2.78458,3.31364,3.32682,1.92721,2.03868,2.69529,1.69271,1.39227,2.35016,1.95774,1.60739,1.46256
scan1-23.png,1.88522,1.82298,8.98141,2.06584,1.97606,2.05836,1.74475,1.1979,5.85785,8.07224,0.352291,7.19323,0.558809,0.540961,1.97165,2.13575,2.22083,2.17047,2.94798,5.10485,3.04403,1.95359,0.0,0.533185,1.83378,4.25386,2.15094,2.28284,2.40173,2.26339,2.14799,3.26206,2.17701,1.27518,4.49673,20.1703,1.10574,7.6096,1.55983,0.938307,1.99582,2.30201,2.31094,1.88552,0.992926,3.36539,0.943011,1.14922,0.415362,0.72206,2.91552,1.25533
scan1-24.png,1.92556,1.97197,8.20697,2.21483,1.65046,1.31607,1.67095,1.01451,5.51676,7.64348,0.517894,6.12034,0.355366,0.218929,2.31273,2.02436,2.25896,1.76206,1.92698,3.84628,2.49774,1.3596,0.533185,0.0,1.143,3.65012,1.92489,2.08357,1.87859,2.06476,1.81686,2.34909,1.88329,0.655086,4.49673,19.5111,0.766738,7.26851,1.17139,0.77014,2.3369,2.08075,2.09755,1.08084,0.37516,2.35668,0.781085,1.08169,0.780501,0.809365,2.12618,0.656134
scan1-25.png,2.69126,3.11497,8.23121,3.35783,2.38703,1.32674,2.34063,0.842204,5.14645,7.88222,1.96827,5.51453,1.43653,1.36198,2.68305,3.04104,3.43528,3.07576,2.29714,3.42615,2.84476,0.961056,1.83378,1.143,0.0,4.0455,3.03808,3.15129,2.2631,3.12832,3.05328,2.48307,3.07415,0.660754,4.49673,19.2597,1.5234,6.8982,1.97081,1.75612,2.70722,3.15502,3.16454,1.25726,1.33535,2.6865,1.73247,1.50752,2.11584,1.95237,1.5444,1.04697
